symbol,timeframe,entry_date,entry_price,status
TSLA_inverse,10m,2025-06-12 13:50:00,0.0030970299482796,open
AMZN_inverse,5m,2025-06-12 15:30:00,0.0046963790917202,open
MSFT_inverse,3m,2025-06-12 15:30:00,0.0020865065620631,open
MSFT_inverse,5m,2025-06-12 15:35:00,0.002086071301917,open
META_inverse,3m,2025-06-12 15:39:00,0.0014410675428357,open
MSFT_inverse,10m,2025-06-12 15:40:00,0.0020884674825612,open
QQQ_inverse,5m,2025-06-12 15:45:00,0.0018766655406673,open
META_inverse,5m,2025-06-12 15:50:00,0.0014438035560881,open
QQQ_inverse,10m,1749772200000,0.0018865432867357,open
QQQ_inverse,3m,1749772620000,0.0018865432867357,open
AAPL,10m,1749772200000,0.005035766531792,open
AAPL,5m,1749772500000,0.005035766531792,open
TSLA,3m,1749772620000,0.0031581606872157,open
SPY,10m,1749772200000,0.0016661390559656,open
SPY,5m,1749772500000,0.0016661390559656,open
SPY,3m,1749772620000,0.0016661390559656,open
AMZN,10m,1749772200000,0.0047169811320754,open
AMZN,3m,1749772620000,0.0047169811320754,open
NVDA,5m,1749772500000,0.0069204152249134,open
NVDA,3m,1749772620000,0.0069204152249134,open
META,10m,1749772200000,0.0014453164520371,open
